Brand,Model,Year,Created On,Modified On
Lexus,LS 460 L,2010,2013-01-01,2013-01-01
Lexus,LX 570,2011,2013-01-01,2016-09-26
Lexus,NX 200t AWD,2017,2016-10-05,2017-01-25
Lexus,IS 300,2004,2013-01-01,2013-01-01
Lexus,RX 330 2WD,2004,2013-01-01,2013-01-01
Lexus,RC 350 AWD,2020,2019-11-27,2020-02-05
Lexus,RC 300 AWD,2024,2023-11-06,2024-05-29
Lexus,IS F,2012,2013-01-01,2016-09-26
Lexus,SC 300/SC 400,1996,2013-01-01,2013-01-01
Lexus,SC 300/SC 400,1992,2013-01-01,2013-01-01
Lexus,RX 350,2012,2013-01-01,2016-09-26
Lexus,RX 350 AWD,2014,2013-01-01,2016-09-26
Lexus,IS 250 C,2014,2013-01-01,2016-09-26
Lexus,NX 300h AWD,2019,2018-06-13,2019-08-20
Lexus,RC 350,2024,2023-11-06,2024-05-29
Lexus,GS 300,2018,2017-10-04,2017-12-20
Lexus,LS 460 L,2014,2013-01-01,2016-09-26
Lexus,LS 430,2003,2013-01-01,2013-01-01
Lexus,SC,2000,2013-01-01,2013-01-01
Lexus,NX 300,2018,2017-10-04,2017-12-20
Lexus,UX 250h,2024,2023-04-27,2023-09-19
Lexus,LX 470,1999,2013-01-01,2013-01-01
Lexus,RX 450h AWD,2022,2021-08-24,2022-01-04
Lexus,ES 250 AWD,2023,2022-09-12,2023-06-01
Lexus,LX 470,2001,2013-01-01,2013-01-01
Lexus,RX 300,2001,2013-01-01,2013-01-01
Lexus,ES 350,2019,2018-09-11,2018-12-18
Lexus,SC 300/SC 400,1997,2013-01-01,2013-01-01
Lexus,GS 350,2009,2013-01-01,2013-01-01
Lexus,RX 350 L,2021,2020-08-24,2021-04-26
Lexus,ES 350,2012,2013-01-01,2016-09-26
Lexus,HS 250h,2012,2013-01-01,2020-06-02
Lexus,ES 350 F Sport,2023,2022-10-03,2023-06-01
Lexus,RX 450h AWD,2013,2013-01-01,2020-06-02
Lexus,GS 450h,2015,2014-10-06,2017-04-05
Lexus,RX 350 AWD,2018,2018-01-03,2018-02-06
Lexus,LX 600,2023,2022-11-30,2023-06-01
Lexus,LS 460 L AWD,2010,2013-01-01,2013-01-01
Lexus,RX 450h,2013,2013-01-01,2020-06-02
Lexus,RX 450h,2014,2013-01-01,2020-06-02
Lexus,RX 350,2015,2014-03-21,2016-09-26
Lexus,NX 200t,2016,2015-10-19,2016-09-26
Lexus,LS 460,2011,2013-01-01,2016-09-26
Lexus,LX 600,2024,2023-11-06,2024-05-29
Lexus,RX 330 2WD,2006,2013-01-01,2013-01-01
Lexus,LS 500 AWD,2024,2023-11-06,2024-05-29
Lexus,GS 300/GS 430,2004,2013-01-01,2013-01-01
Lexus,GS 200t F Sport,2017,2016-09-26,2016-11-22
Lexus,GS F,2018,2017-11-10,2017-12-20
Lexus,NX 300 AWD,2018,2017-10-04,2017-11-28
Lexus,GS F,2016,2015-12-02,2016-09-26
Lexus,IS 350,2008,2013-01-01,2013-01-01
Lexus,GS 300,1996,2013-01-01,2013-01-01
Lexus,LS 460 L,2012,2013-01-01,2016-09-26
Lexus,LC 500,2024,2023-06-23,2024-05-29
Lexus,LS 460 L AWD,2013,2013-01-01,2016-09-26
Lexus,RX 350h AWD,2024,2023-09-19,2024-05-29
Lexus,IS 300,2003,2013-01-01,2013-01-01
Lexus,ES 350,2016,2015-08-06,2016-09-26
Lexus,IS 500,2022,2021-09-24,2022-01-12
Lexus,LS 600h L,2016,2015-10-28,2017-04-05
Lexus,UX 300h,2025,2024-03-19,2024-04-16
Lexus,IS 350,2020,2019-10-02,2019-12-10
Lexus,ES 300h,2020,2019-08-26,2019-12-10
Lexus,LS 460 AWD,2009,2013-01-01,2013-01-01
Lexus,NX 200t AWD,2015,2014-11-20,2016-09-26
Lexus,ES 300,1992,2013-01-01,2013-01-01
Lexus,SC 300/SC 400,1996,2013-01-01,2013-01-01
Lexus,GS 300/GS 400,1998,2013-01-01,2013-01-01
Lexus,GS 450h,2011,2013-01-01,2020-06-02
Lexus,RX 350 L,2018,2018-01-18,2018-02-06
Lexus,IS 250,2008,2013-01-01,2013-01-01
Lexus,GS 300,1995,2013-01-01,2013-01-01
