Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2023 Mercedes-AMG GT53 4-Door Photos, engines & full specs",Mercedes-AMG GT53 4-Door53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt53-4-door-2023.html,,,,,,,,,All Wheel Drive,9-speed automatic (9G-TRONIC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2023 Mercedes-AMG GT53 4-Door Photos, engines & full specs",Mercedes-AMG GT53 4-Door53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt53-4-door-2023.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2021 Mercedes-AMG GT 53 Photos, engines & full specs",Mercedes-AMG GT 53 4MATIC+53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt-53-4matic-2020.html,L6,2999 cm3,319.9 KW @ 6100 RPM435 HP @ 6100 RPM429 BHP @ 6100 RPM,384 lb-ft @ 1800-5800 RPM520 Nm @ 1800-5800 RPM,Turbocharged Direct Injection,Mild Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,16.2 kw (22 hp),184.4 lb-ft (250 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2021 Mercedes-AMG GT 53 Photos, engines & full specs",Mercedes-AMG GT 53 4MATIC+53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt-53-4matic-2020.html,,,,,,,,177 mph (285 km/h),,,,,,,,,,,,,,4.5 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2021 Mercedes-AMG GT 53 Photos, engines & full specs",Mercedes-AMG GT 53 4MATIC+53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt-53-4matic-2020.html,,,,,,,,,All Wheel Drive,9-speed automatic (9G-TRONIC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2021 Mercedes-AMG GT 53 Photos, engines & full specs",Mercedes-AMG GT 53 4MATIC+53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt-53-4matic-2020.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2021 Mercedes-AMG GT 53 Photos, engines & full specs",Mercedes-AMG GT 53 4MATIC+53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt-53-4matic-2020.html,,,,,,,,,,,,,,,,,,,,,27 mpg US (8.7 L/100Km),,,,,,,,,,,,,,,198 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2021 Mercedes-AMG GT 53 Photos, engines & full specs",Mercedes-AMG GT 53 4MATIC+53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt-53-4matic-2020.html,,,,,,,,,,,,,,,,,,,,,23.5 mpg US (10 L/100Km),,,,,,,,,,,,,,,,,,,,226 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 43 4Matic 4-Door (X290) Photos, engines & full specs",Mercedes-AMG GT 43 4MATIC 4-Door (X290)3.0L 9AT AWD (367 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-43-4matic-4-doors-2018.html,L6,2999 cm3,269.9 KW @ 5500-6100 RPM367 HP @ 5500-6100 RPM362 BHP @ 5500-6100 RPM,369 lb-ft @ 1800-4500 RPM500 Nm @ 1800-4500 RPM,Turbocharged Direct Injection,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 43 4Matic 4-Door (X290) Photos, engines & full specs",Mercedes-AMG GT 43 4MATIC 4-Door (X290)3.0L 9AT AWD (367 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-43-4matic-4-doors-2018.html,,,,,,,,168 mph (270 km/h),,,,,,,,,,,,,,4.9 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
